ARSON,33,34
ARSON,60,115
ASSAULT,4,5113
ASSAULT,31,4702
ASSAULT,58,3708
ASSAULT,733,3
ASSAULT,814,1
ASSAULT,922,1
ASSAULT,1624,4
ASSAULT,2515,1
BATTERY,16,13688
BATTERY,43,47485
BATTERY,70,8997
BATTERY,124,16
BATTERY,232,14
BATTERY,313,16
BATTERY,421,55
BATTERY,934,12
BATTERY,1123,21
BATTERY,1231,9
BATTERY,1933,16
BURGLARY,17,3502
BURGLARY,44,8847
BURGLARY,71,12579
CONCEALED CARRY LICENSE VIOLATION,15,5
CONCEALED CARRY LICENSE VIOLATION,42,8
CONCEALED CARRY LICENSE VIOLATION,69,17
CRIM SEXUAL ASSAULT,20,179
CRIM SEXUAL ASSAULT,47,45
CRIM SEXUAL ASSAULT,74,45
CRIMINAL DAMAGE,17,7796
CRIMINAL DAMAGE,44,15422
CRIMINAL DAMAGE,71,21616
CRIMINAL SEXUAL ASSAULT,6,117
CRIMINAL SEXUAL ASSAULT,33,37
CRIMINAL SEXUAL ASSAULT,60,23
CRIMINAL TRESPASS,20,1030
CRIMINAL TRESPASS,47,168
CRIMINAL TRESPASS,74,396
DECEPTIVE PRACTICE,25,12132
DECEPTIVE PRACTICE,52,1082
DECEPTIVE PRACTICE,511,1
GAMBLING,12,21
GAMBLING,39,65
GAMBLING,66,476
HOMICIDE,25,985
HOMICIDE,52,49
INTERFERENCE WITH PUBLIC OFFICER,16,96
INTERFERENCE WITH PUBLIC OFFICER,43,593
INTERFERENCE WITH PUBLIC OFFICER,70,69
INTIMIDATION,10,28
INTIMIDATION,37,34
INTIMIDATION,64,20
KIDNAPPING,14,53
KIDNAPPING,41,28
KIDNAPPING,68,143
LIQUOR LAW VIOLATION,5,122
LIQUOR LAW VIOLATION,32,261
LIQUOR LAW VIOLATION,59,81
MOTOR VEHICLE THEFT,10,3190
MOTOR VEHICLE THEFT,37,1014
MOTOR VEHICLE THEFT,64,1054
NARCOTICS,17,2103
NARCOTICS,44,11284
NARCOTICS,71,19639
NON - CRIMINAL,60,2
NON-CRIMINAL,8,12
NON-CRIMINAL,35,2
NON-CRIMINAL (SUBJECT SPECIFIED),23,2
NON-CRIMINAL (SUBJECT SPECIFIED),50,1
OBSCENITY,20,9
OBSCENITY,74,5
OFFENSE INVOLVING CHILDREN,15,733
OFFENSE INVOLVING CHILDREN,42,1005
OFFENSE INVOLVING CHILDREN,69,1427
OTHER NARCOTIC VIOLATION,20,1
OTHER OFFENSE,14,4336
OTHER OFFENSE,41,2683
OTHER OFFENSE,68,10093
PROSTITUTION,26,3674
PROSTITUTION,53,1050
PUBLIC INDECENCY,3,1
PUBLIC INDECENCY,30,4
PUBLIC INDECENCY,57,2
PUBLIC PEACE VIOLATION,11,407
PUBLIC PEACE VIOLATION,38,384
PUBLIC PEACE VIOLATION,65,303
ROBBERY,NULL,23133
ROBBERY,0,1
ROBBERY,27,5349
ROBBERY,54,1041
SEX OFFENSE,15,447
SEX OFFENSE,42,377
SEX OFFENSE,69,518
STALKING,16,62
STALKING,43,127
STALKING,70,40
THEFT,13,6153
THEFT,40,9629
THEFT,67,26053
WEAPONS VIOLATION,NULL,4650
WEAPONS VIOLATION,27,1971
WEAPONS VIOLATION,54,662
ARSON,34,41
ARSON,61,358
ASSAULT,5,3836
ASSAULT,32,6799
ASSAULT,59,1638
ASSAULT,113,4
ASSAULT,221,2
ASSAULT,734,3
ASSAULT,815,1
ASSAULT,923,1
ASSAULT,1031,2
ASSAULT,1112,6
ASSAULT,1652,2
ASSAULT,1733,2
BATTERY,17,8064
BATTERY,44,27653
BATTERY,71,39572
BATTERY,233,10
BATTERY,314,4
BATTERY,422,15
BATTERY,611,10
BATTERY,935,11
BATTERY,1124,13
BATTERY,1232,5
BATTERY,1421,4
BATTERY,1934,7
BURGLARY,18,1374
BURGLARY,45,2232
BURGLARY,72,2130
CONCEALED CARRY LICENSE VIOLATION,16,2
CONCEALED CARRY LICENSE VIOLATION,43,14
CRIM SEXUAL ASSAULT,21,245
CRIM SEXUAL ASSAULT,48,158
CRIM SEXUAL ASSAULT,75,185
CRIMINAL DAMAGE,18,2849
CRIMINAL DAMAGE,45,3898
CRIMINAL DAMAGE,72,3523
CRIMINAL SEXUAL ASSAULT,7,46
CRIMINAL SEXUAL ASSAULT,34,9
CRIMINAL SEXUAL ASSAULT,61,71
CRIMINAL TRESPASS,21,1195
CRIMINAL TRESPASS,48,700
CRIMINAL TRESPASS,75,1280
DECEPTIVE PRACTICE,26,4350
DECEPTIVE PRACTICE,53,3054
GAMBLING,13,28
GAMBLING,40,263
GAMBLING,67,808
HOMICIDE,26,370
HOMICIDE,53,293
INTERFERENCE WITH PUBLIC OFFICER,17,56
INTERFERENCE WITH PUBLIC OFFICER,44,370
INTERFERENCE WITH PUBLIC OFFICER,71,711
INTIMIDATION,11,32
INTIMIDATION,38,42
INTIMIDATION,65,27
KIDNAPPING,15,108
KIDNAPPING,42,112
KIDNAPPING,69,156
LIQUOR LAW VIOLATION,6,472
LIQUOR LAW VIOLATION,33,65
LIQUOR LAW VIOLATION,60,108
MOTOR VEHICLE THEFT,11,2947
MOTOR VEHICLE THEFT,38,4300
MOTOR VEHICLE THEFT,65,2546
NARCOTICS,18,716
NARCOTICS,45,1584
NARCOTICS,72,582
NON-CRIMINAL,36,1
OBSCENITY,21,10
OBSCENITY,48,5
OBSCENITY,75,9
OFFENSE INVOLVING CHILDREN,16,587
OFFENSE INVOLVING CHILDREN,43,1962
OFFENSE INVOLVING CHILDREN,70,568
OTHER OFFENSE,15,7359
OTHER OFFENSE,42,7620
OTHER OFFENSE,69,11070
PROSTITUTION,NULL,8015
PROSTITUTION,27,3191
PROSTITUTION,54,4
PUBLIC INDECENCY,4,4
PUBLIC INDECENCY,31,2
PUBLIC INDECENCY,58,2
PUBLIC PEACE VIOLATION,12,530
PUBLIC PEACE VIOLATION,39,111
PUBLIC PEACE VIOLATION,66,1571
ROBBERY,1,4394
ROBBERY,28,7017
ROBBERY,55,235
SEX OFFENSE,16,462
SEX OFFENSE,43,657
SEX OFFENSE,70,228
STALKING,17,26
STALKING,44,134
STALKING,71,123
THEFT,14,13014
THEFT,41,13656
THEFT,68,22500
WEAPONS VIOLATION,1,927
WEAPONS VIOLATION,28,1118
WEAPONS VIOLATION,55,136
ARSON,35,39
ARSON,62,64
ASSAULT,6,6494
ASSAULT,33,2535
ASSAULT,60,2971
ASSAULT,114,2
ASSAULT,222,3
ASSAULT,411,3
ASSAULT,735,5
ASSAULT,924,1
ASSAULT,1032,2
ASSAULT,1113,1
ASSAULT,1221,1
ASSAULT,1653,1
ASSAULT,1923,2
BATTERY,18,3678
BATTERY,45,5679
BATTERY,72,2610
BATTERY,234,13
BATTERY,423,20
BATTERY,531,14
BATTERY,612,19
BATTERY,1125,9
BATTERY,1233,10
BATTERY,1422,11
BATTERY,1611,4
BATTERY,1935,3
BATTERY,2232,12
BURGLARY,19,8963
BURGLARY,46,8162
BURGLARY,73,4817
CONCEALED CARRY LICENSE VIOLATION,44,22
CONCEALED CARRY LICENSE VIOLATION,71,26
CRIM SEXUAL ASSAULT,22,519
CRIM SEXUAL ASSAULT,49,788
CRIM SEXUAL ASSAULT,76,52
CRIMINAL DAMAGE,19,16783
CRIMINAL DAMAGE,46,15223
CRIMINAL DAMAGE,73,9911
CRIMINAL SEXUAL ASSAULT,8,253
CRIMINAL SEXUAL ASSAULT,35,42
CRIMINAL SEXUAL ASSAULT,62,7
CRIMINAL TRESPASS,22,3123
CRIMINAL TRESPASS,49,4335
CRIMINAL TRESPASS,76,3363
DECEPTIVE PRACTICE,NULL,17681
DECEPTIVE PRACTICE,0,8
DECEPTIVE PRACTICE,27,3369
DECEPTIVE PRACTICE,54,520
GAMBLING,14,63
GAMBLING,41,31
GAMBLING,68,613
HOMICIDE,NULL,381
HOMICIDE,27,308
HOMICIDE,54,87
HUMAN TRAFFICKING,32,3
HUMAN TRAFFICKING,59,1
INTERFERENCE WITH PUBLIC OFFICER,18,20
INTERFERENCE WITH PUBLIC OFFICER,45,75
INTERFERENCE WITH PUBLIC OFFICER,72,27
INTIMIDATION,12,23
INTIMIDATION,39,18
INTIMIDATION,66,69
KIDNAPPING,16,85
KIDNAPPING,43,189
KIDNAPPING,70,81
LIQUOR LAW VIOLATION,7,397
LIQUOR LAW VIOLATION,34,75
LIQUOR LAW VIOLATION,61,310
MOTOR VEHICLE THEFT,12,3644
MOTOR VEHICLE THEFT,39,1791
MOTOR VEHICLE THEFT,66,8261
NARCOTICS,19,7730
NARCOTICS,46,11850
NARCOTICS,73,6797
NON - CRIMINAL,8,1
NON - CRIMINAL,35,1
NON-CRIMINAL,10,4
NON-CRIMINAL,37,1
OBSCENITY,22,14
OBSCENITY,49,13
OBSCENITY,76,2
OFFENSE INVOLVING CHILDREN,17,339
OFFENSE INVOLVING CHILDREN,44,1073
OFFENSE INVOLVING CHILDREN,71,1841
OTHER NARCOTIC VIOLATION,22,5
OTHER NARCOTIC VIOLATION,49,1
OTHER NARCOTIC VIOLATION,76,1
OTHER OFFENSE,16,5335
OTHER OFFENSE,43,16246
OTHER OFFENSE,70,4797
PROSTITUTION,1,931
PROSTITUTION,28,1861
PROSTITUTION,55,2
PUBLIC INDECENCY,5,1
PUBLIC INDECENCY,32,16
PUBLIC PEACE VIOLATION,13,109
PUBLIC PEACE VIOLATION,40,333
PUBLIC PEACE VIOLATION,67,1220
RITUALISM,5,1
ROBBERY,2,2905
ROBBERY,29,8174
ROBBERY,56,1411
SEX OFFENSE,17,274
SEX OFFENSE,44,377
SEX OFFENSE,71,526
STALKING,18,10
STALKING,45,27
STALKING,72,19
THEFT,15,20405
THEFT,42,14398
THEFT,69,23578
WEAPONS VIOLATION,2,722
WEAPONS VIOLATION,29,3771
WEAPONS VIOLATION,56,504
ARSON,36,22
ARSON,63,228
ASSAULT,7,5255
ASSAULT,34,1255
ASSAULT,61,9619
ASSAULT,223,3
ASSAULT,331,1
ASSAULT,412,4
ASSAULT,925,3
ASSAULT,1033,1
ASSAULT,1114,2
ASSAULT,1222,1
ASSAULT,1654,1
ASSAULT,1924,1
ASSAULT,2032,1
ASSAULT,2221,2
BATTERY,19,21822
BATTERY,46,26021
BATTERY,73,13856
BATTERY,235,3
BATTERY,424,23
BATTERY,532,16
BATTERY,613,15
BATTERY,1234,8
BATTERY,1423,5
BATTERY,1531,22
BATTERY,1612,9
BATTERY,2233,9
BATTERY,2422,18
BURGLARY,20,2860
BURGLARY,47,833
BURGLARY,74,664
CONCEALED CARRY LICENSE VIOLATION,18,1
CONCEALED CARRY LICENSE VIOLATION,45,3
CONCEALED CARRY LICENSE VIOLATION,72,1
CRIM SEXUAL ASSAULT,23,741
CRIM SEXUAL ASSAULT,50,103
CRIM SEXUAL ASSAULT,77,259
CRIMINAL DAMAGE,20,5356
CRIMINAL DAMAGE,47,1436
CRIMINAL DAMAGE,74,2249
CRIMINAL SEXUAL ASSAULT,9,5
CRIMINAL SEXUAL ASSAULT,36,13
